EPOCH                                                 B_R                         B_T                         B_N
dd-mm-yyyy hh:mm:ss.mil.mic                            nT                          nT                          nT
06-09-2022 02:58:29.999.995.3                     10.5914                     1.08172                    0.445177
06-09-2022 02:59:30.000.001.7                     10.4267                     1.28982                    0.426297
06-09-2022 03:00:29.999.998.2                     10.2821                    0.554843                     1.83996
06-09-2022 03:01:30.000.004.6                     10.2064                    0.604919                     2.09161
06-09-2022 03:02:30.000.001.1                     10.5202                     1.66525                    0.123304
06-09-2022 03:03:29.999.997.5                     10.8242                     1.44803                   0.0584706
06-09-2022 03:04:30.000.004.0                     10.9530                    0.283351                    0.181249
06-09-2022 03:05:30.000.000.4                     10.6153                   -0.248497                    0.233377
06-09-2022 03:06:29.999.996.8                     10.8701                   -0.257277                   -0.163586
06-09-2022 03:07:30.000.003.3                     11.2067                   -0.865528                  -0.0249697
06-09-2022 03:08:29.999.999.7                     11.3072                   -0.259940                   -0.779111
06-09-2022 03:09:29.999.996.2                     11.0984                   -0.341492                   -0.525261
06-09-2022 03:10:30.000.002.6                     11.0827                    0.230265                   -0.987862
06-09-2022 03:11:29.999.999.1                     10.9408                     1.25349                   0.0282840
06-09-2022 03:12:29.999.995.5                     11.0376                  -0.0489582                   -0.660443
06-09-2022 03:13:30.000.002.0                     10.9972                  -0.0295627                   -0.365230
06-09-2022 03:14:29.999.998.4                     10.6115                  -0.0263991                    0.590766
06-09-2022 03:15:30.000.004.9                     10.4597                    0.519098                   0.0762335
06-09-2022 03:16:30.000.001.3                     10.7103                   -0.589793                    0.522304
06-09-2022 03:17:29.999.997.7                     10.1963                    -2.46099                   0.0215247
06-09-2022 03:18:30.000.004.2                     10.4589                   -0.492218                   -0.851222
06-09-2022 03:19:30.000.000.6                     10.2485                    0.483151                   -0.442086
06-09-2022 03:20:29.999.997.0                     9.79160                     1.53712                    -1.49948
06-09-2022 03:21:30.000.003.5                     10.0979                    0.777657                    -1.67777
06-09-2022 03:22:30.000.000.0                     10.0767                     1.70353                   -0.490326
06-09-2022 03:23:29.999.996.4                     10.1009                     1.66754                   -0.882477
06-09-2022 03:24:30.000.002.9                     10.4363                     1.59698                   -0.703451
06-09-2022 03:25:29.999.999.3                     10.2885                     3.19408                    0.180641
06-09-2022 03:26:29.999.995.7                     11.2050                     2.07514                   -0.970104
06-09-2022 03:27:30.000.002.2                     10.8877                     2.83163                    -1.76081
06-09-2022 03:28:29.999.998.6                     10.6366                     3.08772                    -2.14661
06-09-2022 03:29:29.999.995.0                     11.0764                    -2.01224                    -1.65456
06-09-2022 03:30:30.000.001.5                     10.5656                    -2.53737                    -2.81704
06-09-2022 03:31:29.999.997.9                     10.2942                    -2.75425                    -2.80699
06-09-2022 03:32:30.000.004.4                     10.2020                     2.73283                    -1.36826
06-09-2022 03:33:30.000.000.8                     9.56539                     5.18512                   -0.804837
06-09-2022 03:34:29.999.997.3                     9.76721                     3.99582                    -1.94650
06-09-2022 03:35:30.000.003.7                     9.84407                     3.12466                    -1.38069
06-09-2022 03:36:30.000.000.2                     10.4432                     2.93870                    -2.53043
06-09-2022 03:37:29.999.996.6                     10.2361                     3.37778                    -2.33190
06-09-2022 03:38:30.000.003.1                     10.6840                     2.22329                    -2.91149
06-09-2022 03:39:29.999.999.5                     10.7137                    0.110426                    -3.44510
06-09-2022 03:40:29.999.995.9                     11.1573                    -1.10215                    -2.16266
06-09-2022 03:41:30.000.002.4                     11.0206                   -0.281297                    -3.82266
06-09-2022 03:42:29.999.998.8                     10.4226                    -1.66866                    -3.98073
06-09-2022 03:43:29.999.995.3                     10.3246                   -0.366432                    -2.48936
06-09-2022 03:44:30.000.001.7                     10.6565                    -1.93639                    -3.07742
06-09-2022 03:45:29.999.998.2                     10.4989                    -1.33237                    -5.17418
06-09-2022 03:46:30.000.004.6                     12.5065                    -1.98531                    -3.40992
06-09-2022 03:47:30.000.001.1                     11.8201                   -0.645742                    -4.01073
06-09-2022 03:48:29.999.997.5                     11.8254                    -2.45056                    -2.91596
06-09-2022 03:49:30.000.004.0                     9.55952                   -0.146777                    -7.51709
06-09-2022 03:50:30.000.000.4                     10.0406                    -2.19019                    -6.50749
06-09-2022 03:51:29.999.996.8                     10.7080                    -1.88749                    -5.57326
06-09-2022 03:52:30.000.003.3                     11.3359                    -1.21059                    -4.99856
06-09-2022 03:53:29.999.999.7                     10.4982                    -4.98450                    -5.13553
06-09-2022 03:54:29.999.996.2                     10.5428                    -2.78308                    -5.87288
06-09-2022 03:55:30.000.002.6                     10.9846                    -4.48008                    -6.28355
06-09-2022 03:56:29.999.999.1                     10.4821                    -4.15220                    -8.46084
06-09-2022 03:57:29.999.995.5                     11.3767                    -3.76210                    -6.19409
06-09-2022 03:58:30.000.002.0                     11.9972                    -1.92115                    -3.87784
06-09-2022 03:59:29.999.998.4                     6.89462                    -5.11042                    -8.86306
06-09-2022 04:00:30.000.004.9                     11.1394                    -2.38663                    -4.36671
06-09-2022 04:01:30.000.001.3                     9.04131                    -4.20054                    -7.38806
06-09-2022 04:02:29.999.997.7                     10.8025                    -4.42895                    -5.31055
06-09-2022 04:03:30.000.004.2                     9.56079                    -3.91778                    -6.47044
06-09-2022 04:04:30.000.000.6                     10.3015                    -1.16746                    -5.28196
06-09-2022 04:05:29.999.997.0                     9.64448                    -3.50036                    -5.92498
06-09-2022 04:06:30.000.003.5                     9.15906                    -2.98271                    -5.78969
06-09-2022 04:07:30.000.000.0                     11.6569                    -1.37752                    -5.21848
06-09-2022 04:08:29.999.996.4                     11.7330                    -1.33664                    -4.43370
06-09-2022 04:09:30.000.002.9                     11.6573                    -1.51350                    -4.39386
06-09-2022 04:10:29.999.999.3                     11.4899                    -1.24715                    -4.92329
06-09-2022 04:11:29.999.995.7                     10.5319                    -2.56456                    -5.59349
06-09-2022 04:12:30.000.002.2                     10.7932                   -0.990513                    -5.26663
06-09-2022 04:13:29.999.998.6                     10.8421                    -4.36282                    -6.44328
06-09-2022 04:14:29.999.995.0                     9.15543                    -8.69351                    -2.45612
06-09-2022 04:15:30.000.001.5                     7.27608                    -7.91597                    -2.30838
06-09-2022 04:16:29.999.997.9                     7.88576                    -7.77478                    -2.65690
06-09-2022 04:17:30.000.004.4                     7.71513                    -7.59637                    -2.40438
06-09-2022 04:18:30.000.000.8                     8.24479                    -7.38231                    -2.69324
06-09-2022 04:19:29.999.997.3                     8.04014                    -7.23685                    -3.36276
06-09-2022 04:20:30.000.003.7                     8.09421                    -7.73286                    -2.06588
06-09-2022 04:21:30.000.000.2                     7.93346                    -8.08138                    -1.47802
06-09-2022 04:22:29.999.996.6                     7.76856                    -7.74244                   -0.638979
06-09-2022 04:23:30.000.003.1                     8.11922                    -6.79387                    -3.33439
06-09-2022 04:24:29.999.999.5                     7.56365                    -6.63977                    -3.39727
06-09-2022 04:25:29.999.995.9                     7.85345                    -6.82648                    -2.56167
06-09-2022 04:26:30.000.002.4                     6.95425                    -7.42545                   -0.680478
06-09-2022 04:27:29.999.998.8                     6.19906                    -7.26546                     2.10061
06-09-2022 04:28:29.999.995.3                     6.87217                    -8.64833                    -2.24248
06-09-2022 04:29:30.000.001.7                     8.08983                    -7.51370                    -3.15503
06-09-2022 04:30:29.999.998.2                     1.13963                    -10.5297                     1.29436
06-09-2022 04:31:30.000.004.6                     10.2757                    -1.48192                    -5.66370
06-09-2022 04:32:30.000.001.1                     7.36274                    -8.23349                    -3.28964
06-09-2022 04:33:29.999.997.5                     8.33299                    -7.83201                    -2.08615
06-09-2022 04:34:30.000.004.0                     9.79005                    -8.08065                    -3.50358
06-09-2022 04:35:30.000.000.4                     8.33191                    -8.46177                    -3.48177
